,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業種別商業販売額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,      Commercial sales value by type of business ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　　　　 （単位：10億円）,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(billion yen),,
,  商  業  計,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,　参 考 ,  参 考 １,　参 考 ２,,
,, 卸 売 業 計,,,,,,,,,,,,,,,,, 小 売 業 計,,,,,,,,,,(医薬品化粧品小売業、その他小売業の計),(自動車小売業､機械器具小売業、燃料小売業、、医薬品化粧品小売業、その他小売業の計),(燃料小売業、医薬品化粧品小売業、その他小売業の計),   Year,
,,,  各種商品, 繊  維  品,衣服･身の回り品,農畜産物･水産物,食料･飲料,  建築材料,  化学製品,鉱物･金属材料,機 械 器 具 卸 売 業,,　,　,　,家具･建具･じゅう器,医薬品･化粧品,  その他の,,  各種商品,織物･衣服･身の回り品,  飲食料品,  自 動 車,  機械器具,  燃    料,医薬品・化粧品,  そ の 他,　無 店 舗,,,,   and,
 　年  月,　,　,  卸 売 業, 卸  売  業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,　,産業機械器具卸売業,自動車卸売業,電気機械器具卸売業,その他の機械器具卸売業,  卸 売 業,  卸 売 業,  卸 売 業,　,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,,,,  Month,
,Total,Wholesale,"General
Merchandise","
Textiles","Apparel
　　　　 2,"39,340 ","31,967 ","5,852 ","1,085 ","1,144 ","4,079 ","2,497 ","1,513 ","1,340 ","4,908 ","5,854 ",…,…,…,…,550 ,746 ,"2,399 ","7,373 ",921 ,704 ,"2,357 ",775 ,312 ,…,…,…,…,…,"3,391 ","2,303 ",2月.,
         3,"51,697 ","42,811 ","12,018 ","1,234 ","1,341 ","4,670 ","2,961 ","1,734 ","1,491 ","5,340 ","7,436 ",…,…,…,…,726 ,"1,043 ","2,815 ","8,886 ","1,130 ",862 ,"2,594 ","1,165 ",347 ,…,…,…,…,…,"4,300 ","2,789 ",3月.,
  　     4,"40,951 ","32,384 ","4,144 ","1,101 ","1,334 ","4,253 ","3,187 ","1,592 ","1,428 ","4,583 ","6,482 ",…,…,…,…,647 ,"1,084 ","2,550 ","8,567 ","1,098 ",854 ,"2,655 ",862 ,361 ,…,…,…,…,…,"3,960 ","2,737 ",4月.,
  　     5,"41,497 ","33,240 ","5,731 ","1,146 ","1,250 ","4,294 ","2,879 ","1,648 ","1,436 ","4,556 ","6,204 ",…,…,…,…,609 ,"1,112 ","2,374 ","8,257 ","1,048 ",812 ,"2,581 ",800 ,343 ,…,…,…,…,…,"3,816 ","2,673 ",May,
  　     6,"41,738 ","33,767 ","6,101 ","1,151 ","1,182 ","4,253 ","3,060 ","1,700 ","1,476 ","4,434 ","6,322 ",…,…,…,…,607 ,"1,126 ","2,355 ","7,971 ","1,033 ",790 ,"2,490 ",756 ,379 ,…,…,…,…,…,"3,658 ","2,523 ",6月.,
  　     7,"43,603 ","34,780 ","6,204 ","1,178 ","1,016 ","4,452 ","3,245 ","1,783 ","1,488 ","4,727 ","6,552 ",…,…,…,…,617 ,"1,121 ","2,396 ","8,823 ","1,335 ",883 ,"2,675 ",892 ,446 ,…,…,…,…,…,"3,930 ","2,592 ",7月.,
  　     8,"41,158 ","33,212 ","6,426 ","1,168 ","1,162 ","4,334 ","2,692 ","1,692 ","1,436 ","4,713 ","5,525 ",…,…,…,…,541 ,"1,056 ","2,468 ","7,945 ","1,014 ",692 ,"2,790 ",593 ,376 ,…,…,…,…,…,"3,450 ","2,481 ",8月.,
  　     9,"49,391 ","41,443 ","11,626 ","1,278 ","1,619 ","4,767 ","2,833 ","1,738 ","1,499 ","4,998 ","6,943 ",…,…,…,…,599 ,"1,057 ","2,487 ","7,948 ",984 ,800 ,"2,616 ",802 ,352 ,…,…,…,…,…,"3,547 ","2,394 ",9月.,
  　    10,"42,402 ","34,095 ","4,560 ","1,259 ","1,716 ","4,979 ","2,746 ","1,872 ","1,545 ","4,833 ","6,233 ",…,…,…,…,644 ,"1,098 ","2,609 ","8,306 ","1,115 ",946 ,"2,633 ",777 ,363 ,…,…,…,…,…,"3,612 ","2,472 ",10月.,
  　    11,"44,045 ","35,609 ","5,923 ","1,228 ","1,536 ","4,677 ","2,980 ","1,888 ","1,534 ","5,121 ","6,383 ",…,…,…,…,657 ,"1,100 ","2,583 ","8,436 ","1,121 ",964 ,"2,587 ",779 ,413 ,…,…,…,…,…,"3,764 ","2,572 ",11月.,
      　12,"49,865 ","38,879 ","6,887 ","1,208 ","1,590 ","5,329 ","3,763 ","1,811 ","1,522 ","5,391 ","6,643 ",…,…,…,…,707 ,"1,207 ","2,821 ","10,986 ","1,899 ","1,271 ","3,327 ",830 ,523 ,…,…,…,…,…,"4,490 ","3,136 ",12月.,
  1985年1月,"38,742 ","30,914 ","5,902 ","1,112 ","1,022 ","3,757 ","2,136 ","1,540 ","1,335 ","5,110 ","5,462 ",…,…,…,…,493 ,834 ,"2,212 ","7,827 ","1,087 ",924 ,"2,413 ",605 ,368 ,…,…,…,…,…,"3,404 ","2,431 ",1月.,1985
